,,Trait,TRAIT2,,,A,C,E,N,O
Moody,,,,,moody,-0.26,-0.1,0.2,-0.39,-0.16
Moral,,N,,,moral,0.23,0.36,-0.03,-0.16,0.04
Moralistic,,C,,,moralist,0.02,0.42,-0.11,-0.16,0.24
Moralizing,,C,,,moralizi,-0.07,0.36,-0.14,-0.07,0.29
Morbid,,C,,,morbid,-0.22,-0.16,0.31,-0.1,-0.08
Morose,,E,,,morose,-0.37,-0.04,0.38,-0.17,0.01
Mousy,,E,A,,mousy,0.15,0.04,0.24,-0.17,0.09
Muddle-headed,,,,,muddle_h,0.08,-0.4,-0.05,-0.32,0.12
Mulish,,C,,,mulish,-0.1,-0.12,0.01,-0.11,-0.1
Mundane,,,,,mundane,0.03,0.18,0.21,-0.06,0.21
Murderous,,,,,murderou,-0.16,-0.12,0.15,0.04,-0.1
Mushy,,,,,mushy,-0.06,0.01,-0.23,-0.25,0.15
Musical,,,,,musical,0.07,0.08,-0.08,0.02,-0.08
Mussy,,,,,mussy,0.08,-0.42,-0.01,-0.07,-0.07
Mutinous,,C,,,mutinous,-0.32,-0.29,0.02,0.02,-0.31
Mystical,,O,,,mystical,-0.05,0.03,-0.09,-0.19,-0.19
Nagging,,,,,nagging,-0.26,0.06,-0.02,-0.36,0.05
Naive,,N,,,naive,0.13,-0.18,-0.05,-0.37,0.13
Narrow,,N,,,narrow,-0.14,0.02,0.06,-0.03,0.34
Narrow-minded,,O,,,narrow_m,-0.24,0.05,0.08,-0.06,0.25
Natural,,,,,natural,0.19,0.04,-0.1,-0.01,-0.05
Negative,,,,,negative,-0.25,-0.04,0.4,-0.18,0.03
Negativistic,,E,,,negativi,-0.21,-0.07,0.34,-0.21,-0.02
Neglectful,,E,,,neglectf,-0.09,-0.38,0.05,-0.09,0.05
Negligent,,C,,,negligen,-0.14,-0.33,0.08,-0.06,0.14
Neighborly,,C,,,neighbor,0.28,0.14,-0.39,-0.05,0.14
Nervous,,E,,,nervous,-0.13,-0.04,0.14,-0.45,0.01
Nervy,,N,,,nervy,-0.15,-0.05,-0.17,-0.15,-0.14
Niggardly,,,,,niggardl,-0.23,-0.08,0.12,-0.05,0.02
Nimble-witted,,,,,nimble_w,0.2,-0.11,0,0.09,-0.29
Noisy,,,,,noisy,-0.31,-0.3,-0.44,-0.09,-0.05
Nonbelligerent,,E,,,nonbelli,0.39,0.11,0.14,-0.04,0.05
Nonchalant,,A,,,nonchala,0.07,-0.11,-0.01,0.39,0.11
Noncoercive,,A,,,noncoerc,0.24,-0.01,0.13,0.08,-0.04
Noncompliant,,,,,noncompl,-0.05,-0.11,0.11,0.15,-0.22
Nonconforming,,,,,nonconfo,0.07,-0.3,0.02,0.17,-0.4
Nonegotistical,,O,C,,nonegois,0.4,-0.01,0.09,0.06,0.02
Nonexplosive,,A,,,nonexplo,0.49,0.07,0.14,0.21,0.22
Nonhostile,,A,,,nonhosti,0.52,0.03,-0.01,0.09,0.13
Nonimitative,,A,,,nonimita,0.32,0.05,0.02,0.23,-0.19
Noninterfering,,,,,noninter,0.42,0.04,0.29,0.21,-0.02
Nonirritable,,A,,,nonirrit,0.43,-0.05,0.02,0.36,0.16
Nonpersistent,,A,N,,nonpersi,0.27,-0.18,0.22,0.01,0.21
Nonrational,,,,,nonratio,-0.03,-0.34,-0.14,-0.18,0.02
Nonreligious,,C,,,nonrelig,-0.07,-0.24,0.19,0.14,-0.14
Nonrigid,,,,,nonrigid,0.27,-0.28,0.03,-0.08,-0.13
Nonspiritual,,,,,nonspiri,-0.12,-0.1,0.18,0.2,0.05
Nonunderstanding,,,,,nonunder,0.03,-0.05,0.09,0.15,0.14
Nonvariant,,,,,nonvaria,0.07,0.16,0.16,0.28,0.18
Nonvocal,,,,,nonvocal,0.12,0.07,0.51,0.09,0.27
Nonvolatile,,,,,nonvolat,0.21,0.08,0.23,0.23,0.2
Nosey,,,,,nosey,-0.2,-0.11,-0.19,-0.33,0.03
Objective,,N,,,objectiv,0.08,0.24,-0.05,0.25,-0.07
Obliging,,,,,obliging,0.29,0.11,-0.1,-0.08,0.23
Observant,,,,,observan,0.03,0.19,-0.16,0.21,-0.15
Obsessive,,,,,obsessiv,-0.35,0,0.02,-0.16,0.08
Obstinate,,A,,,obstinat,-0.21,-0.02,-0.04,-0.12,-0.21
Obtrusive,,,,,obtrusiv,-0.3,-0.06,-0.14,-0.03,-0.11
Old-fashioned,,A,,,old_fash,0.07,0.11,-0.02,-0.14,0.17
One-sided,,,,,one_side,-0.18,0.09,0.05,-0.01,0.23
Open-hearted,,,,,open_hea,0.4,0.08,-0.37,-0.09,-0.04
Open-minded,,A,E,,open_min,0.32,-0.12,-0.06,0.14,-0.11
Opinionated,,A,,,opiniona,-0.26,0.12,-0.17,-0.02,-0.12
Opportunistic,,,,,opportun,-0.19,0.15,-0.2,0.13,0.05
Optimistic,,,,,optimist,0.29,0.07,-0.26,0.14,0.09
Orderly,,,,,orderly,0.05,0.54,0.08,0.03,0.08
Organized,,C,,,organize,0.04,0.59,0.02,0.06,0.04
Original,,C,,,original,0.02,0.16,-0.09,0.13,-0.25
Ornery,,,,,ornery,-0.28,-0.04,-0.13,-0.14,-0.08
Ostentatious,,,,,ostentat,-0.28,0.01,-0.25,-0.07,0.09
Otherworldly,,,,,otherwor,0.02,-0.09,0.04,-0.19,-0.03
Outgoing,,,,,outgoing,0,-0.01,-0.62,0.11,-0.03
Outspoken,,E,,,outspoke,-0.2,-0.04,-0.43,-0.01,-0.29
Overactive,,E,,,overacti,-0.15,0.13,-0.35,0.09,-0.04
Overambitious,,E,,,overambi,-0.12,0.26,-0.19,0.03,-0.09
Overbearing,,,,,overbear,-0.38,0.06,-0.27,-0.01,-0.02
Overbitter,,A,,,overbitt,-0.26,0.07,0.24,-0.06,-0.1
Overbold,,,,,overbold,-0.29,-0.08,-0.26,0.14,-0.12
Overbookish,,,,,overbook,0.06,0.15,0.09,-0.07,-0.23
Overbrave,,,,,overbrav,-0.04,0.1,-0.08,0.3,-0.06
Overbusy,,N,,,overbusy,0.06,0.2,-0.19,0.01,-0.06
Overcareful,,,,,overcare,0.01,0.29,0.18,-0.22,0.02
Overcaring,,,,,overcari,0.01,0.11,-0.03,-0.32,-0.1
Overcasual,,N,,,overcasu,-0.11,-0.19,-0.02,0.19,0.04
Overcautious,,,,,overcaut,0,0.25,0.16,-0.18,0.1
Overcharitable,,,,,overchar,0.12,0.1,-0.03,-0.12,0.06
Overconfident,,,,,overconf,-0.13,0.13,-0.3,0.32,-0.05
Overconscientious,,E,,,overcons,0.11,0.32,0.04,-0.08,-0.06
Overcredulous,,C,,,overcred,-0.01,0.04,-0.05,-0.35,-0.05
Overcritical,,N,,,overcrit,-0.35,0.06,0.15,-0.11,-0.22
Overcunning,,A,,,overcunn,-0.39,0.15,-0.01,0.09,-0.01
Overcurious,,A,,,overcuri,-0.18,-0.03,-0.13,0.03,-0.16
Overdaring,,,,,overdari,-0.25,-0.08,-0.28,0.27,-0.09
Overdiligent,,,,,overdili,-0.03,0.34,0.1,-0.02,-0.07
Overearnest,,C,,,overearn,0.04,0.04,0.01,-0.13,-0.2
Overelegant,,,,,overeleg,0.04,0.33,-0.08,0.06,0.04
Overemotional,,C,,,overemot,-0.02,0.05,-0.07,-0.53,-0.17
Overemphatic,,N,,,overemph,-0.2,-0.02,-0.12,-0.17,-0.22
Overexcitable,,,,,overexci,-0.19,-0.02,-0.37,-0.39,0
Overfastidious,,N,E,,overfast,-0.14,0.28,-0.03,-0.05,-0.1
Overfearful,,,,,overfear,-0.09,0.02,0.16,-0.49,0.14
Overfierce,,N,,,overfier,-0.43,0.07,-0.07,0.13,-0.08
Overforward,,A,,,overforw,-0.27,-0.05,-0.36,0.04,-0.07
Overgreedy,,E,,,overgree,-0.35,-0.04,-0.03,-0.02,0.06
Overharsh,,A,,,overhars,-0.43,0.14,0.11,0,-0.09
Overhasty,,A,,,overhast,-0.2,-0.18,-0.14,-0.24,0.05
Overimaginative,,,,,overimag,-0.11,-0.19,-0.11,-0.08,-0.21
Overindulgent,,,,,overindu,-0.22,-0.22,-0.15,-0.1,-0.06
Overintense,,,,,overinte,-0.16,-0.03,0.07,-0.31,-0.26
Overjealous,,N,,,overjeal,-0.37,0.01,-0.02,-0.23,0.08
Overkind,,A,,,overkind,0.08,0.06,-0.04,-0.03,0.05
Overlogical,,,,,overlogi,-0.11,0.18,0.11,0.13,-0.11
Overloud,,,,,overloud,-0.3,-0.18,-0.35,-0.06,0.03
Overlusty,,E,A,,overlust,-0.29,-0.07,-0.18,0.12,-0.01
Overmerry,,,,,overmerr,-0.12,-0.11,-0.29,0.03,0.11
Overmodest,,,,,overmode,0.13,0.04,0.19,0.01,0.1
Overneat,,,,,overneat,-0.08,0.45,0.04,-0.06,0.06
Overnervous,,C,,,overnerv,-0.17,0.06,0.12,-0.48,0.01
Overpartial,,N,,,overparl,-0.12,0,-0.01,-0.09,0.21
Overparticular,,,,,overpart,-0.17,0.27,0.13,-0.13,0.06
Overpassionate,,,,,overpass,-0.16,0.12,-0.18,-0.1,-0.01
Overpatient,,,,,overpati,0.23,0.06,0.16,0.11,0.07
Overprompt,,,,,overprom,-0.1,0.27,0.08,0.01,-0.02
Overproud,,,,,overprou,-0.29,0.1,0.04,0.02,0.03
Overquiet,,,,,overquie,0.08,0.14,0.58,-0.02,0.15
Overrash,,N,,,overrash,-0.18,-0.24,-0.03,-0.1,0.04
Overrefined,,,,,overrefi,-0.01,0.31,0.05,0.01,0.13
Overrelaxed,,C,,,overrela,0.04,-0.12,-0.12,0.32,0.11
Overrighteous,,N,,,overrigh,-0.08,0.21,-0.03,-0.05,0.13
Overrigid,,,,,overrigi,-0.13,0.19,0.24,-0.02,0.14
Overrigorous,,,,,overrigo,-0.15,0.03,-0.07,0.13,-0.01
Overscrupulous,,,,,overscru,0.03,0.16,0.05,-0.05,0.11
Oversensitive,,,,,oversens,-0.02,-0.01,0.09,-0.51,-0.05
Overserious,,N,,,overseri,-0.1,0.16,0.42,-0.29,-0.01
Oversevere,,E,,,overseve,-0.37,0.2,0.16,-0.09,-0.06
Overslow,,,,,overslow,0.07,-0.2,0.18,-0.17,0.14
Oversolicitous,,,,,oversoli,-0.05,0.02,-0.02,-0.14,0.18
Overspeedy,,,,,overspee,-0.24,0.03,-0.17,0.05,-0.05
Overstrict,,,,,overstri,-0.29,0.27,0,-0.08,0.1
Overstudious,,,,,overstud,0,0.34,0.11,-0.03,-0.14
Oversubtle,,C,,,oversubt,0.04,0.08,0.15,-0.03,-0.04
Oversuspicious,,,,,oversusp,-0.34,0,0.22,-0.12,0.05
Overtalkative,,A,,,overtalk,-0.18,-0.24,-0.48,-0.19,-0.05
Overthoughtful,,E,,,overthou,-0.03,-0.02,0.01,-0.19,-0.08
Overtrained,,,,,overtrai,-0.11,0.14,0,-0.07,0.03
Overtrusting,,,,,overtrus,0.19,-0.06,-0.1,-0.27,0.06
Overvaliant,,,,,overvali,-0.06,0.15,-0.25,0.1,-0.08
Overviolent,,,,,overviol,-0.43,0.01,-0.01,0.02,-0.17
Overwary,,A,,,overwary,-0.15,0.02,0.26,-0.12,0.01
Overwomanly,,,,,overwoma,0.29,0.04,-0.09,-0.39,-0.06
Overzealous,,N,,,overzeal,-0.1,0.06,-0.17,-0.06,-0.08
Pacifistic,,,,,pacifist,0.38,-0.06,0.12,0.02,-0.02
Painstaking,,A,,,painstak,0.13,0.31,0.12,-0.14,-0.21
Participative,,C,,,particip,0.08,0.15,-0.47,0.11,0.02
Particular,,E,,,particul,-0.11,0.47,0.09,-0.09,-0.09
Passionate,,C,,,passiona,0.04,0.19,-0.32,-0.11,-0.16
Passionless,,E,,,passionl,-0.05,-0.12,0.14,0.2,0.15
Passive,,,,,passive,0.1,0.02,0.3,-0.09,0.34
Patient,,O,E,,patient,0.48,0.15,0.1,0.16,0.15
Patronizing,,A,,,patroniz,-0.2,0.13,-0.17,-0.09,0.24
Peaceful,,,,,peaceful,0.39,0.12,0.12,0.13,0.2
Peacemaking,,A,,,peacemak,0.42,0.26,-0.05,0.03,0.08
Peevish,,A,,,peevish,-0.34,-0.08,0.12,-0.31,-0.02
Penetrative,,A,N,,penetrat,-0.07,0.13,-0.16,0,-0.49
Pensive,,O,,,pensive,0.13,-0.08,0.19,-0.2,-0.19
Peppery,,,,,peppery,-0.23,-0.04,-0.29,0.02,-0.25
Peppy,,,,,peppy,0.1,0.03,-0.59,0.03,-0.11
Perceptive,,E,,,percepti,0.19,0.14,-0.07,0.06,-0.35
Perfectionistic,,O,,,perfecti,-0.05,0.31,0.1,-0.12,-0.17
Perky,,C,,,perky,0.08,0.05,-0.54,-0.03,-0.06
Persecutive,,E,,,persecut,-0.37,0.02,0.05,-0.09,0.14
Persevering,,A,,,persever,0.1,0.3,0.04,0.15,-0.27
Persistent,,C,,,persiste,0.07,0.38,-0.08,0.09,-0.19
Perspectiveless,,C,,,perspect,-0.16,-0.06,0.01,0.06,0.32
Persuadable,,O,,,persuada,0.04,-0.11,0.04,-0.28,0.21
Persuasive,,,,,persuasi,-0.08,0.08,-0.26,0.02,-0.08
Pert,,,,,pert,-0.07,-0.05,-0.34,-0.07,-0.14
Perturbable,,E,,,perturba,-0.09,-0.01,0.07,-0.34,-0.02
Pessimistic,,N,,,pessimis,-0.27,0.01,0.29,-0.24,-0.05
Petty,,,,,petty,-0.18,0,-0.04,-0.3,0.15
Philanthropic,,N,,,philanth,0.21,0.06,-0.15,-0.09,-0.03
Philosophical,,,,,philosop,-0.01,-0.04,-0.01,-0.03,-0.42
Philosophizing,,O,,,philosoz,-0.08,-0.05,-0.05,-0.08,-0.33
Picky,,O,,,picky,-0.32,0.11,-0.03,-0.25,0.05
Pig-headed,,A,,,pig_head,-0.23,-0.1,0.01,-0.1,0
Pious,,,,,pious,-0.02,0.27,-0.06,-0.09,0.22
Pitiless,,,,,pitiless,-0.28,-0.11,0.08,0.33,0.08
Placid,,N,,,placid,0.21,0.18,0.27,0.09,0.21
Plain-dealing,,,,,plain_de,0.22,0.03,0.24,0.14,-0.01
Plain-spoken,,,,,plain_sp,0.11,0.07,0.15,0.06,0.07
Planful,,,,,planful,0.07,0.31,-0.01,-0.07,-0.05
Planless,,C,,,planless,0.07,-0.38,-0.01,0.11,0.17
Playful,,C,,,playful,0.1,-0.06,-0.49,0.06,0.05
Pleasant,,E,,,pleasant,0.38,0.2,-0.3,0.09,0.21
Pleasure-seeking,,E,,,pleasure,-0.2,-0.17,-0.26,0.12,0.2
Pliable,,,,,pliable,0.13,0.09,-0.11,-0.24,0.19
Pliant,,,,,pliant,0.17,0.03,-0.12,-0.11,0.1
Plucky,,,,,plucky,0.14,0,-0.19,0.01,-0.21
Poetic,,,,,poetic,0.15,-0.06,-0.16,-0.13,-0.34
Poised,,O,,,poised,0.16,0.4,-0.15,0.09,0.1
Polished,,C,,,polished,0,0.51,-0.14,0.09,0.17
Polite,,C,,,polite,0.32,0.47,-0.04,-0.03,0.19
Political,,C,A,,politica,0.01,0.16,-0.05,0.13,-0.3
Pompous,,O,,,pompous,-0.23,0.23,-0.14,0.01,0.16
Posed,,,,,posed,-0.26,0.23,-0.11,-0.04,0.2
Possessive,,,,,possessi,-0.28,0.06,-0.07,-0.3,0.11
Pouty,,N,,,pouty,-0.26,-0.01,0.02,-0.36,-0.01
Practical,,N,,,practica,0.06,0.46,0.15,0.24,0.06
Prankish,,C,,,prankish,-0.23,-0.2,-0.33,0.09,0.01
Prayerful,,E,,,prayerfu,0.12,0.25,-0.13,-0.16,0.19
Preachy,,,,,preachy,-0.17,0.18,-0.18,-0.18,0.11
Precise,,,,,precise,-0.06,0.51,0.03,0.1,-0.18
Precondemning,,C,,,preconde,-0.22,0.14,0.02,-0.17,0.15
Predatory,,,,,predator,-0.38,-0.01,0.03,0.16,0.03
Predictable,,A,,,predicta,0.2,0.23,0.08,0.1,0.29
Prejudiced,,,,,prejudic,-0.26,0.06,-0.09,-0.11,0.28
Prejudiceless,,,,,prejudil,0.23,-0.09,0.1,0.16,-0.18
Premeditative,,,,,premedit,0.01,0.25,0.24,-0.07,-0.07
Presumptuous,,,,,presumpt,-0.3,0.07,-0.29,-0.14,0.05
Pretenseful,,A,,,pretensf,-0.34,0.05,-0.02,-0.14,0.14
Pretenseless,,A,,,pretensl,0.38,-0.07,0.06,0.17,-0.12
Pretentious,,A,,,pretenti,-0.37,0.05,-0.2,-0.02,0.18
Prideless,,A,,,prideles,0.22,-0.2,0.2,0,0.07
Prim,,,,,prim,-0.07,0.34,-0.03,-0.11,0.25
Principled,,C,,,principl,0.13,0.35,0,0.13,-0.08
Productive,,C,,,producti,0.13,0.43,-0.12,0.08,-0.19
Profane,,C,,,profane,-0.28,-0.16,0,0.12,0.04
Profound,,,,,profound,-0.14,0.11,-0.1,0.04,-0.32
Progressive,,O,,,progress,0.12,0.13,-0.06,0.22,-0.18
Prompt,,,,,prompt,0.02,0.44,-0.01,0.08,0.04
Proper,,C,,,proper,0.03,0.54,0.06,-0.07,0.27
Prophetic,,C,,,propheti,-0.08,0.1,-0.05,-0.11,-0.21
Protective,,,,,protecti,0.09,0.27,-0.04,-0.14,-0.02
Proud,,,,,proud,-0.15,0.32,-0.14,0.06,0.01
Provincial,,C,,,provinci,-0.17,0.13,-0.04,-0.09,0.15
Provocable,,,,,provocab,-0.2,0.06,-0.12,-0.31,-0.13
Prudent,,N,,,prudent,0.12,0.27,0.24,-0.06,-0.06
Prudish,,,,,prudish,0.06,0.16,0.01,-0.17,0.21
Punctual,,,,,punctual,0.01,0.44,-0.01,0.04,0
Puritanical,,C,,,puritani,0.05,0.27,-0.03,-0.13,0.23
Purposeful,,,,,purposef,0.17,0.5,-0.11,0.03,-0.12
Purposeless,,C,,,purposel,-0.02,-0.41,0.23,0.07,0.18
Purposive,,C,,,purposiv,0.08,0.37,-0.1,0.02,-0.06
Quarrelsome,,C,,,quarrels,-0.52,-0.01,-0.07,-0.16,-0.09
Questioning,,A,,,question,-0.01,-0.03,0.06,0.02,-0.36
Quick,,O,,,quick,0.02,0.25,-0.25,0.19,-0.22
Quick-tempered,,,,,quick_te,-0.39,0.06,-0.07,-0.2,-0.27
Quick-witted,,A,,,quick_wi,-0.14,0.08,-0.18,0.2,-0.28
Quiet,,,,,quiet,0.2,0.16,0.56,-0.02,0.09
Quiet-spoken,,E,,,quiet_sp,0.3,0.13,0.55,0.08,0.03
Rambunctious,,E,,,rambunct,-0.14,-0.11,-0.4,0.09,-0.1
Rascally,,E,,,rascally,-0.29,-0.18,-0.38,0.11,-0.05
Rash,,E,,,rash,-0.22,-0.31,-0.2,-0.17,-0.14
Rational,,C,,,rational,0.19,0.39,0.16,0.17,-0.06
Realistic,,C,,,realisti,0.12,0.3,0.19,0.31,-0.03
Reasonable,,N,,,reasonab,0.37,0.23,0.1,0.17,0.13
Rebellious,,A,,,rebellio,-0.29,-0.24,-0.06,-0.04,-0.47
Reckless,,O,,,reckless,-0.23,-0.38,-0.14,0.03,-0.02
Reclusive,,C,,,reclusiv,0.04,-0.1,0.49,-0.13,0.02
Refined,,E,,,refined,0.15,0.46,0.06,-0.02,0.09
Reflective,,C,,,reflecti,0.2,0.02,0.29,-0.19,-0.29
Reformative,,,,,reformat,0.09,0.16,-0.1,-0.03,-0.03
Relaxed,,,,,relaxed,0.27,0.1,-0.21,0.39,0.07
Relentless,,N,,,relentle,-0.15,0.13,-0.09,0.12,-0.19
Reliable,,,,,reliable,0.12,0.49,0.03,0.04,0.06
Reliant,,C,,,reliant,0.03,0.17,-0.06,-0.18,0.16
Religious,,,,,religiou,0.17,0.31,-0.15,-0.1,0.16
Remorseless,,C,,,remorsel,0,-0.11,0.02,0.27,-0.03
Reproachful,,,,,reproach,-0.18,0.03,0.01,-0.02,0.11
Resentful,,,,,resentfu,-0.41,-0.15,0.11,-0.21,-0.06
Reserved,,A,,,reserved,0.16,0.19,0.53,-0.05,0.06
Resilient,,,,,resilien,0.29,-0.02,0.07,0.13,-0.11
Resourceful,,,,,resource,0.14,0.29,-0.13,0.21,-0.29
Respectful,,,,,respectf,0.37,0.34,-0.03,-0.05,0.29
Responsible,,C,,,responsi,0.22,0.52,0.01,0.02,0
Responsive,,C,,,responsv,0.21,0.17,-0.27,-0.15,-0.24
Restless,,,,,restless,-0.16,-0.23,-0.09,-0.21,-0.13
Restrainable,,,,,restrain,0.06,0.29,0.39,-0.02,0.23
Restrained,,E,,,restrnbl,0.17,0.22,0.13,-0.03,0.26
Retaliative,,,,,retaliat,-0.44,-0.04,0.02,-0.03,-0.07
Retiring,,A,,,retiring,0.02,0.07,0.44,-0.03,0.21
Retortive,,E,,,retortiv,-0.27,-0.05,-0.09,0,-0.23
Revengeful,,,,,revengef,-0.49,-0.13,0.1,-0.03,-0.05
Reverent,,A,,,reverent,0.09,0.26,-0.14,-0.18,0.16
Rigid,,,,,rigid,-0.31,0.28,0.12,-0.04,0.24
Rigorous,,A,,,rigorous,-0.13,0.23,-0.14,0.25,-0.01
Risque,,,,,risque,-0.18,-0.18,-0.12,0.16,-0.09
Ritualistic,,,,,ritualis,-0.06,0.16,-0.06,-0.21,0.11
Rivalrous,,,,,rivalrou,-0.3,0.02,-0.1,0,0.01
Roguish,,A,,,roguish,-0.26,-0.21,-0.2,0.09,-0.16
Rollicking,,,,,rollicki,-0.07,-0.2,-0.49,0.12,0.12
Rootless,,E,,,rootless,-0.12,-0.21,0.07,0.1,-0.08
Rough,,,,,rough,-0.39,-0.1,-0.06,0.36,0.05
Rowdy,,A,,,rowdy,-0.38,-0.16,-0.36,0.14,-0.02
Rude,,A,E,,rude,-0.44,-0.32,-0.08,0.08,-0.1
Rugged,,A,C,,rugged,-0.2,-0.1,-0.06,0.41,-0.02
Ruthless,,N,,,ruthless,-0.49,-0.16,0.03,0.21,-0.05
Saccharine,,A,,,sacchari,-0.04,0.19,-0.14,-0.09,0.33
Sadistic,,O,,,sadistic,-0.37,-0.14,0.06,0.06,0.08
Saintly,,A,,,saintly,0.02,0.17,-0.14,0,0.16
Sarcastic,,,,,sarcasti,-0.34,-0.01,-0.04,-0.02,-0.11
Sassy,,A,,,sassy,-0.27,-0.11,-0.21,-0.1,-0.19
Satiric,,,,,satiric,-0.35,-0.04,0.03,0.04,-0.24
Saucy,,A,,,saucy,-0.14,-0.05,-0.28,-0.08,-0.26
Scampish,,,,,scampish,-0.16,-0.17,-0.29,-0.05,-0.06
Scandalmongering,,,,,scandalm,-0.25,0.05,-0.14,-0.13,0.17
Scatterbrained,,,,,scatterb,0.05,-0.33,-0.17,-0.33,0.15
Scheming,,C,,,scheming,-0.38,-0.03,-0.07,-0.1,0.08
Scholarly,,,,,scholarl,-0.03,0.33,0,0.03,-0.24
Scornful,,C,,,scornful,-0.31,0.06,0.13,-0.14,-0.15
Scrappy,,A,,,scrappy,-0.24,-0.07,0.03,0.1,0.02
Scrupulous,,,,,scrupulo,0.13,0.09,0.12,-0.04,-0.13
Seclusive,,,,,seclusiv,-0.08,0.04,0.48,-0.14,-0.01
Secretive,,E,,,secretiv,-0.15,0.03,0.2,-0.08,-0.03
Sedate,,E,,,sedate,0.08,0.28,0.38,-0.02,0.22
Selfish,,,,,selfish,-0.16,-0.28,0.1,-0.21,-0.07
Selfless,,A,,,selfless,0.33,-0.04,0.04,0.01,-0.05
Sensitive,,N,,,sensitiv,0.22,0.1,-0.03,-0.5,-0.21
Sensual,,,,,sensual,-0.09,-0.06,-0.12,0,-0.11
Sensuous,,,,,sensuous,0.01,-0.02,-0.17,0.04,-0.13
Sentimental,,N,,,sentimen,0.23,0.18,-0.22,-0.4,0.08
Serene,,A,C,,serene,0.33,0.32,0.06,0.15,0.07
Serious,,C,,,serious,0.06,0.36,0.24,-0.12,-0.06
Serious-minded,,C,,,serious_,0.08,0.37,0.27,-0.09,-0.09
Servile,,O,,,servile,-0.1,0.01,0.02,-0.2,0.33
Severe,,A,,,severe,-0.39,0.16,0.1,0.03,-0.11
Sexy,,,,,sexy,-0.06,0.14,-0.23,0.14,-0.03
Shallow,,O,,,shallow,-0.06,0,0.03,-0.08,0.4
Sharp-tongued,,A,O,,sharp_to,-0.43,0.05,-0.07,-0.11,-0.33
Sharp-witted,,O,,,sharp_wi,-0.17,0.12,-0.16,0.14,-0.38
Shiftless,,,,,shiftles,-0.11,-0.08,0.05,0.11,0.19
Shortsighted,,,,,short_sp,-0.05,-0.05,0.41,-0.01,0
Short-spoken,,E,,,short_te,-0.35,0.08,-0.04,-0.22,-0.21
Short-tempered,,A,,,shortsig,0.03,-0.17,0.07,-0.26,0.21
Showy,,E,A,,showy,-0.31,-0.08,-0.42,-0.04,-0.01
Shrewd,,,,,shrewd,-0.26,0.1,0.02,0.22,-0.27
Shrewish,,A,,,shrewish,-0.31,0.05,-0.04,-0.12,-0.11
Shrinking,,N,,,shrinkin,-0.02,-0.11,0.25,-0.33,0.17
Shy,,E,,,shy,0.09,0.09,0.52,-0.15,0.13
Silent,,E,,,silent,0.12,0.13,0.53,0.01,0.19
Simple,,,,,simple,0.19,-0.01,0.01,-0.03,0.25
Sincere,,A,,,sincere,0.36,0.25,-0.03,-0.07,-0.05
Single-minded,,,,,single_m,-0.08,0.09,0.15,0.06,-0.01
Skeptical,,E,,,skeptica,-0.2,0.07,0.32,0.04,-0.24
Slanderous,,A,,,slandero,-0.45,-0.04,0.02,-0.02,0.02
Self-assertive,,E,,,self_ast,-0.2,0.15,-0.4,0.21,-0.19
Self-assured,,N,E,,self_asu,-0.01,0.23,-0.37,0.39,-0.12
Self-centered,,,,,self_cen,-0.28,-0.11,-0.03,-0.09,0
Self-confident,,N,E,,self_cof,0.06,0.26,-0.33,0.43,-0.1
Self-conscious,,,,,self_con,-0.05,0.12,0.23,-0.18,0.17
Self-consistent,,C,N,,self_cos,0.16,0.44,0.07,0.32,0.04
Self-controlled,,C,,,self_cot,0.28,0.39,0.12,0.25,0.12
Self-critical,,,,,self_cri,0.09,-0.02,0.05,-0.26,-0.01
Self-deceiving,,N,,,self_dec,-0.13,-0.18,0.05,-0.35,0.15
Self-defeating,,N,,,self_def,-0.09,0.06,-0.01,-0.14,-0.03
Self-defensive,,,,,self_del,-0.19,-0.09,0.07,-0.4,0.21
Self-deluding,,N,,,self_den,0.06,0.2,0.04,-0.11,0.01
Self-denying,,,,,self_dep,-0.09,-0.16,0.17,-0.34,0.16
Self-deprecating,,N,,,self_des,-0.17,-0.15,0.17,-0.38,0.07
Self-destructive,,N,,,self_dft,-0.16,-0.13,0.13,-0.41,0.14
Self-disciplined,,C,,,self_dis,0.15,0.44,0.03,0.2,0.01
Self-disparaging,,N,,,self_dou,0.03,-0.2,0.24,-0.46,0.13
Self-doubting,,,,,self_dsp,-0.08,-0.11,0.21,-0.32,0.12
Self-effacing,,,,,self_eff,-0.01,-0.04,0.22,-0.22,0.29
Self-examining,,,,,self_exa,0.12,0.01,0.14,-0.13,-0.11
Self-excusing,,,,,self_exc,-0.19,-0.05,0.01,-0.22,0.12
Self-expressive,,,,,self_exp,0.09,0.07,-0.35,0.12,-0.29
Self-important,,,,,self_imp,-0.19,0.08,-0.21,0.14,0.04
Self-indulgent,,,,,self_ind,-0.26,-0.13,-0.14,-0.13,0.05
Self-pitying,,N,,,self_pit,-0.17,-0.13,0.14,-0.5,0.04
Self-possessed,,,,,self_pos,0.03,0,0.06,0,-0.1
Self-punishing,,N,,,self_pun,-0.13,-0.05,0.12,-0.31,0.03
Self-reliant,,,,,self_rel,0.13,0.24,-0.06,0.25,-0.16
Self-reproachful,,N,,,self_rep,0.04,-0.06,0.11,-0.31,-0.08
Self-respecting,,,,,self_rev,-0.05,-0.02,-0.32,-0.13,-0.02
Self-restrained,,,,,self_rig,-0.2,0.23,-0.2,-0.02,0.19
